四季全景台,整租,随时看房,浦东,距离地铁世纪公园349米,34000,押2付3),212,4室2厅,高楼层/21层
小区,出租方式,看房时间,区域,地铁,租金,支付方式,房间大小,厅室,楼层
昌里花园二期,整租,随时看房,浦东,距离地铁云台路622米,5200,押2付3),42,1室0厅,顶层/18层
梅陇七村,整租,提前预约,徐汇,无,4200,押1付3),40,1室1厅,高楼层/6层
崂山二村,整租,随时看房,浦东,距离地铁浦东大道347米,4900,押1付3),33,1室1厅,高楼层/6层
长风大楼,整租,提前预约,普陀,距离地铁大渡河路401米,5000,押1付3),55.33,1室1厅,中楼层/13层
恒大华城新华苑,整租,提前预约,浦东,距离地铁杨思790米,7500,押2付3),71,3室1厅,高楼层/6层
苑宏新村,整租,提前预约,徐汇,无,4000,押1付3),39.08,1室0厅,高楼层/6层
始信北苑,整租,提前预约,浦东,距离地铁云山路924米,6800,押2付3),71.53,2室2厅,低楼层/6层
合丰大楼,整租,提前预约,徐汇,距离地铁大木桥路436米,8000,押2付3),75,2室1厅,中楼层/18层
新时代花园,整租,提前预约,闵行,距离地铁顾戴路585米,7500,押1付3),90,2室2厅,中楼层/6层
汇成一村,整租,提前预约,徐汇,距离地铁上海南站841米,4350,押2付3),50,2室1厅,高楼层/6层
金巷小区-胶东路533弄,整租,随时看房,浦东,距离地铁台儿庄路656米,5600,押1付3),60.18,2室1厅,高楼层/6层
汇成五村,整租,随时看房,徐汇,距离地铁上海南站1390米,3600,押3付3),39,1室1厅,顶层/6层
梅陇四村,整租,随时看房,徐汇,无,4800,押2付3),65,2室1厅,顶层/6层
南新四村,整租,提前预约,浦东,无,4400,押2付3),42,2室1厅,高楼层/6层
金杨九街坊,整租,提前预约,浦东,距离地铁金桥路550米,5500,押2付3),53.9,2室1厅,中楼层/6层
石岚三村,整租,提前预约,普陀,距离地铁岚皋路601米,5800,押1付6),47,2室1厅,顶层/5层
真光二街坊,整租,提前预约,普陀,无,4800,押2付3),69.7,2室1厅,高楼层/6层
高荣小区,整租,随时看房,静安,距离地铁江苏路770米,3500,押2付3),25,1室0厅,高楼层/7层
江浦路2009弄,整租,提前预约,杨浦,距离地铁江浦路589米,3800,押2付3),42,2室0厅,顶层/7层
博三小区,整租,提前预约,浦东,距离地铁博兴路495米,5000,押2付3),45,1室1厅,高楼层/6层
日晖二村,整租,提前预约,徐汇,距离地铁大木桥路193米,5000,押1付3),35,1室1厅,中楼层/5层
住友公寓,整租,提前预约,徐汇,距离地铁上海游泳馆427米,8000,押2付3),85,2室2厅,低楼层/22层
黄山始信苑,整租,提前预约,浦东,距离地铁云山路478米,5400,押1付3),56,2室1厅,低楼层/6层
蒙自路395弄,整租,提前预约,黄浦,距离地铁鲁班路662米,5800,押2付3),38,1室0厅,高楼层/7层
长桥三村,整租,提前预约,徐汇,无,5300,押2付3),56,2室1厅,顶层/6层
上钢三村,整租,提前预约,浦东,距离地铁耀华路481米,5200,押2付3),30,1室1厅,底层/5层
梅陇四村,整租,提前预约,徐汇,无,7200,押1付3),97,3室1厅,中楼层/27层
通协小区,整租,提前预约,长宁,距离地铁淞虹路845米,5400,押2付3),55,1室1厅,底层/13层
上钢七村,整租,随时看房,浦东,距离地铁长清路223米,4700,押1付3),35,1室1厅,中楼层/6层
临沂二村,整租,随时看房,浦东,距离地铁临沂新村633米,5000,押2付3),50,2室1厅,顶层/6层
妙栏小区-妙栏路401弄,整租,提前预约,浦东,距离地铁川沙676米,4800,押2付3),74,3室1厅,顶层/6层
新高苑三期,整租,提前预约,浦东,距离地铁金京路1231米,7200,押2付3),103,3室2厅,高楼层/6层
兰城小区,整租,提前预约,浦东,距离地铁博兴路589米,4800,押2付3),62,2室1厅,顶层/6层
上南十二村,整租,提前预约,浦东,距离地铁东明路692米,5200,押2付3),48,2室1厅,中楼层/6层
金桥路226弄,整租,提前预约,浦东,距离地铁金桥路1400米,4400,押1付3),40,1室1厅,中楼层/6层
梅陇五村,整租,提前预约,徐汇,无,4300,押2付3),41.07,1室1厅,顶层/6层
金巷小区-杨高中路10弄3支弄,整租,提前预约,浦东,距离地铁台儿庄路598米,5100,押2付3),73,2室1厅,高楼层/24层
博一小区-博兴路465弄1支弄,整租,提前预约,浦东,距离地铁博兴路445米,5500,押1付3),65,2室2厅,顶层/6层
上钢一村-上钢一村2-6、64-135号,整租,提前预约,浦东,距离地铁成山路303米,3500,押1付3),36.1,1室1厅,中楼层/5层
黄山二村,整租,随时看房,浦东,距离地铁云山路598米,3900,押1付3),38,1室0厅,低楼层/6层
长桥二村,整租,随时看房,徐汇,无,2900,押2付3),40,1室1厅,高楼层/6层
长桥二村,整租,随时看房,徐汇,无,5000,押1付2),55,2室0厅,顶层/5层
紫叶花园,整租,随时看房,浦东,距离地铁芳华路1302米,6000,押1付3),61,2室1厅,中楼层/6层
海波花苑,整租,提前预约,徐汇,距离地铁龙华429米,7300,押1付3),79,2室2厅,顶层/6层
上钢六村,整租,随时看房,浦东,距离地铁成山路456米,5000,押2付3),41,1室1厅,顶层/6层
惠德新邨,整租,提前预约,浦东,距离地铁龙阳路728米,5400,押2付3),56.12,2室1厅,中楼层/7层
德州六村,整租,提前预约,浦东,距离地铁成山路577米,6000,押2付3),60,2室1厅,中楼层/6层
惠德新邨,整租,提前预约,浦东,距离地铁龙阳路728米,5400,押2付3),56.12,2室1厅,中楼层/7层
德州六村,整租,提前预约,浦东,距离地铁成山路577米,6000,押2付3),60,2室1厅,中楼层/6层
桂林新苑,整租,提前预约,徐汇,距离地铁桂林路860米,5500,押2付3),52,2室1厅,中楼层/18层
浦东南路4605号-4613号,整租,提前预约,浦东,距离地铁云台路195米,7500,押2付3),68,2室1厅,中楼层/12层
华高苑,整租,随时看房,浦东,距离地铁杨高北路652米,6500,押2付3),106,2室2厅,底层/6层
东泉小区,整租,提前预约,徐汇,距离地铁石龙路302米,6300,押2付3),67,2室1厅,高楼层/6层
金杨六街坊,整租,随时看房,浦东,距离地铁蓝天路359米,4800,押2付3),44,1室1厅,高楼层/6层
东湾小区,整租,提前预约,徐汇,无,3000,押1付3),40.87,1室0厅,低楼层/6层
上南五村,合租,提前预约,浦东,距离地铁耀华路477米,2600,押1付3),12,1室1厅,顶层/6层
由由七村,整租,提前预约,浦东,距离地铁杨高南路320米,4800,押1付3),47.3,1室1厅,底层/6层
清水苑-台儿庄路363弄,合租,提前预约,浦东,距离地铁台儿庄路725米,1600,押2付3),10,1室1厅,中楼层/6层
井亭苑,整租,提前预约,闵行,距离地铁紫藤路743米,6800,押1付3),50,1室1厅,低楼层/6层
华利公寓,整租,提前预约,徐汇,距离地铁桂林路565米,6200,押2付3),63,1室1厅,中楼层/29层
临沂二村,整租,随时看房,浦东,距离地铁临沂新村633米,5000,押2付3),50,2室1厅,顶层/6层
妙栏小区-妙栏路401弄,整租,提前预约,浦东,距离地铁川沙676米,4800,押2付3),74,3室1厅,顶层/6层
新高苑三期,整租,提前预约,浦东,距离地铁金京路1231米,7200,押2付3),103,3室2厅,高楼层/6层
兰城小区,整租,提前预约,浦东,距离地铁博兴路589米,4800,押2付3),62,2室1厅,顶层/6层
上南十二村,整租,提前预约,浦东,距离地铁东明路692米,5200,押2付3),48,2室1厅,中楼层/6层
金桥路226弄,整租,提前预约,浦东,距离地铁金桥路1400米,4400,押1付3),40,1室1厅,中楼层/6层
梅陇五村,整租,提前预约,徐汇,无,4300,押2付3),41.07,1室1厅,顶层/6层
金巷小区-杨高中路10弄3支弄,整租,提前预约,浦东,距离地铁台儿庄路598米,5100,押2付3),73,2室1厅,高楼层/24层
博一小区-博兴路465弄1支弄,整租,提前预约,浦东,距离地铁博兴路445米,5500,押1付3),65,2室2厅,顶层/6层
上钢一村-上钢一村2-6、64-135号,整租,提前预约,浦东,距离地铁成山路303米,3500,押1付3),36.1,1室1厅,中楼层/5层
黄山二村,整租,随时看房,浦东,距离地铁云山路598米,3900,押1付3),38,1室0厅,低楼层/6层
长桥二村,整租,随时看房,徐汇,无,2900,押2付3),40,1室1厅,高楼层/6层
临沂二村,整租,随时看房,浦东,距离地铁临沂新村633米,5000,押2付3),50,2室1厅,顶层/6层
妙栏小区-妙栏路401弄,整租,提前预约,浦东,距离地铁川沙676米,4800,押2付3),74,3室1厅,顶层/6层
新高苑三期,整租,提前预约,浦东,距离地铁金京路1231米,7200,押2付3),103,3室2厅,高楼层/6层
兰城小区,整租,提前预约,浦东,距离地铁博兴路589米,4800,押2付3),62,2室1厅,顶层/6层
上南十二村,整租,提前预约,浦东,距离地铁东明路692米,5200,押2付3),48,2室1厅,中楼层/6层
金桥路226弄,整租,提前预约,浦东,距离地铁金桥路1400米,4400,押1付3),40,1室1厅,中楼层/6层
梅陇五村,整租,提前预约,徐汇,无,4300,押2付3),41.07,1室1厅,顶层/6层
金巷小区-杨高中路10弄3支弄,整租,提前预约,浦东,距离地铁台儿庄路598米,5100,押2付3),73,2室1厅,高楼层/24层
博一小区-博兴路465弄1支弄,整租,提前预约,浦东,距离地铁博兴路445米,5500,押1付3),65,2室2厅,顶层/6层
上钢一村-上钢一村2-6、64-135号,整租,提前预约,浦东,距离地铁成山路303米,3500,押1付3),36.1,1室1厅,中楼层/5层
黄山二村,整租,随时看房,浦东,距离地铁云山路598米,3900,押1付3),38,1室0厅,低楼层/6层
长桥二村,整租,随时看房,徐汇,无,2900,押2付3),40,1室1厅,高楼层/6层
长桥二村,整租,随时看房,徐汇,无,5000,押1付2),55,2室0厅,顶层/5层
紫叶花园,整租,随时看房,浦东,距离地铁芳华路1302米,6000,押1付3),61,2室1厅,中楼层/6层
海波花苑,整租,提前预约,徐汇,距离地铁龙华429米,7300,押1付3),79,2室2厅,顶层/6层
上钢六村,整租,随时看房,浦东,距离地铁成山路456米,5000,押2付3),41,1室1厅,顶层/6层
香山西北街坊,整租,随时看房,浦东,距离地铁德平路420米,5600,押1付3),49.51,2室1厅,中楼层/6层
香山西北街坊,整租,随时看房,浦东,距离地铁德平路420米,7000,押2付3),82,2室1厅,顶层/6层
临沂二村,整租,随时看房,浦东,距离地铁临沂新村633米,5000,押2付3),50,2室1厅,顶层/6层
妙栏小区-妙栏路401弄,整租,提前预约,浦东,距离地铁川沙676米,4800,押2付3),74,3室1厅,顶层/6层
新高苑三期,整租,提前预约,浦东,距离地铁金京路1231米,7200,押2付3),103,3室2厅,高楼层/6层
兰城小区,整租,提前预约,浦东,距离地铁博兴路589米,4800,押2付3),62,2室1厅,顶层/6层
上南十二村,整租,提前预约,浦东,距离地铁东明路692米,5200,押2付3),48,2室1厅,中楼层/6层
金桥路226弄,整租,提前预约,浦东,距离地铁金桥路1400米,4400,押1付3),40,1室1厅,中楼层/6层
惠德新邨,整租,提前预约,浦东,距离地铁龙阳路728米,5400,押2付3),56.12,2室1厅,中楼层/7层
德州六村,整租,提前预约,浦东,距离地铁成山路577米,6000,押2付3),60,2室1厅,中楼层/6层
上南五村,合租,提前预约,浦东,距离地铁耀华路477米,2600,押1付3),12,1室1厅,顶层/6层
由由七村,整租,提前预约,浦东,距离地铁杨高南路320米,4800,押1付3),47.3,1室1厅,底层/6层
上南二村,整租,提前预约,浦东,距离地铁耀华路370米,4600,押1付3),33,1室1厅,高楼层/6层
万航公寓,整租,随时看房,静安,距离地铁江苏路628米,8500,押2付3),85,2室1厅,顶层/24层
金杨五街坊,整租,随时看房,浦东,距离地铁蓝天路450米,5200,押1付3),49,2室1厅,顶层/6层
荷一小区,整租,提前预约,浦东,距离地铁五莲路520米,5500,押2付3),67,2室1厅,高楼层/6层
田林三村,整租,提前预约,徐汇,距离地铁桂林公园415米,5000,押2付3),37,1室1厅,底层/6层
华滨家园,整租,提前预约,徐汇,无,7500,押2付3),90,2室2厅,低楼层/35层
金钻苑-海松路421弄,整租,随时看房,浦东,距离地铁曹路887米,5100,押1付3),80,2室2厅,高楼层/6层
崂山四村,整租,提前预约,浦东,距离地铁东昌路340米,6600,押2付3),36,2室0厅,底层/5层
明辉苑,整租,随时看房,徐汇,距离地铁宜山路127米,11000,押2付3),94,2室1厅,中楼层/15层
康健路100弄,整租,提前预约,徐汇,距离地铁漕宝路695米,5000,押2付3),49,2室0厅,顶层/5层
长桥新村,整租,随时看房,徐汇,无,7000,押1付3),65.75,2室1厅,低楼层/5层
常兴家园,整租,随时看房,闵行,距离地铁外环路1099米,4200,押2付3),52,2室1厅,顶层/6层
金桂小区,整租,随时看房,浦东,距离地铁世纪公园214米,6300,押2付3),40,1室1厅,顶层/6层
长桥一村,整租,随时看房,徐汇,无,3800,押1付3),45,1室1厅,中楼层/6层
长桥五村,整租,随时看房,徐汇,无,3800,押1付3),44,1室1厅,高楼层/6层
济阳三村-西营路114弄，德州路421弄,整租,随时看房,浦东,距离地铁长清路795米,3900,押1付3),43.99,1室1厅,顶层/6层
上南三村,整租,提前预约,浦东,距离地铁成山路367米,4800,押1付3),32,1室1厅,底层/6层
博二小区,整租,提前预约,浦东,距离地铁博兴路297米,5500,押2付3),65,2室1厅,高楼层/6层
华高庭园,整租,提前预约,浦东,距离地铁金京路517米,8000,押1付3),123,3室2厅,低楼层/6层
江南一村,整租,提前预约,徐汇,距离地铁大木桥路132米,4500,押2付3),40,1室0厅,中楼层/5层
楼园小区,整租,提前预约,徐汇,距离地铁上海南站1032米,4900,押1付3),61,2室1厅,中楼层/6层
寿光小区-寿光路75弄,整租,提前预约,浦东,距离地铁五莲路565米,6000,押2付3),65,2室1厅,顶层/6层
龙南五村,整租,提前预约,徐汇,距离地铁龙耀路518米,6000,押1付3),65,2室1厅,顶层/6层
粤亮湾景苑,整租,提前预约,浦东,无,4200,押1付3),81,2室1厅,高楼层/18层
金桥新村四街坊-博兴路986弄,整租,提前预约,浦东,距离地铁博兴路604米,4000,押2付3),65,2室1厅,底层/6层
蓝色港湾,整租,提前预约,闵行,距离地铁东兰路820米,7300,押2付3),100,2室2厅,中楼层/6层
凌兆新村-凌兆路379弄,整租,提前预约,浦东,距离地铁灵岩南路596米,4800,押2付3),68.98,2室1厅,顶层/6层
真光七街坊,整租,提前预约,普陀,无,4500,押2付3),50.9,1室1厅,顶层/6层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
三佳花苑,整租,提前预约,闵行,距离地铁七宝949米,4800,押1付3),54,2室1厅,低楼层/5层
领秀爱建园,整租,提前预约,徐汇,距离地铁漕溪路565米,5350,押2付3),45,1室1厅,中楼层/18层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
上陇新村,整租,提前预约,闵行,距离地铁莲花路1366米,3700,押1付3),42.65,1室1厅,高楼层/6层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
上陇新村,整租,提前预约,闵行,距离地铁莲花路1366米,3700,押1付3),42.65,1室1厅,高楼层/6层
宛南六村,整租,提前预约,徐汇,距离地铁上海游泳馆495米,5700,押1付3),50,2室1厅,中楼层/6层
平南四村,整租,提前预约,闵行,距离地铁东兰路252米,4300,押1付3),55,1室1厅,中楼层/6层
东三小区,整租,随时看房,浦东,距离地铁临沂新村1035米,4600,押1付3),35.3,1室1厅,顶层/6层
莲业新村,整租,随时看房,浦东,距离地铁锦绣路1475米,4200,押1付3),50,1室1厅,高楼层/6层
井亭苑,整租,随时看房,闵行,距离地铁紫藤路743米,7200,押2付3),70,2室1厅,顶层/6层
博二小区,整租,提前预约,浦东,距离地铁博兴路297米,5600,押2付3),65,2室1厅,顶层/6层
钦州路111弄,整租,提前预约,徐汇,距离地铁漕宝路662米,6500,押2付3),55,2室1厅,高楼层/7层
绿地崴廉公寓,整租,提前预约,浦东,距离地铁金京路1116米,6500,押2付3),97,2室2厅,高楼层/16层
泰德花苑,整租,提前预约,徐汇,距离地铁上海体育馆330米,11500,押2付3),110,2室2厅,高楼层/32层
岳阳大楼,整租,提前预约,徐汇,距离地铁肇嘉浜路565米,6600,押1付3),36,1室1厅,高楼层/14层
桂康小区,整租,提前预约,徐汇,距离地铁桂林公园132米,4500,押1付3),35,1室1厅,低楼层/6层
金杨三街坊,整租,随时看房,浦东,距离地铁云山路386米,4000,押1付3),45,1室1厅,顶层/7层
宁阳小区,整租,提前预约,浦东,距离地铁塘桥384米,3800,押3付3),32,1室1厅,顶层/6层
嘉秀坊,整租,提前预约,嘉定,无,5500,押2付3),70,2室1厅,底层/6层
寿益坊,整租,提前预约,徐汇,距离地铁上海南站1348米,6600,押2付3),60,2室1厅,底层/6层
清水苑-台儿庄路363弄,合租,提前预约,浦东,距离地铁台儿庄路725米,1600,押2付3),10,1室1厅,中楼层/6层
井亭苑,整租,提前预约,闵行,距离地铁紫藤路743米,6800,押1付3),50,1室1厅,低楼层/6层
张江公馆,整租,提前预约,浦东,距离地铁广兰路1404米,12000,押2付3),140,3室2厅,顶层/25层
华利公寓,整租,提前预约,徐汇,距离地铁桂林路565米,6200,押2付3),63,1室1厅,中楼层/29层
崂山五村,整租,提前预约,浦东,距离地铁浦东大道342米,7000,押2付3),55,2室1厅,底层/6层
绿景苑,整租,提前预约,浦东,距离地铁台儿庄路399米,7500,押2付3),103.37,2室2厅,高楼层/6层
龙阳花苑-东方异彩,合租,提前预约,浦东,距离地铁临沂新村660米,3000,押2付3),20,1室1厅,中楼层/18层
新时代富嘉花园,整租,提前预约,闵行,距离地铁顾戴路693米,15500,押1付3),140,3室2厅,中楼层/11层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
上陇新村,整租,提前预约,闵行,距离地铁莲花路1366米,3700,押1付3),42.65,1室1厅,高楼层/6层
宛南六村,整租,提前预约,徐汇,距离地铁上海游泳馆495米,5700,押1付3),50,2室1厅,中楼层/6层
四季全景台,整租,提前预约,浦东,距离地铁世纪公园349米,22000,押1付3),212,4室2厅,中楼层/21层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
阳光城市家园,整租,提前预约,浦东,距离地铁金京路953米,2300,押2付3),20,1室1厅,中楼层/14层
延吉六村,整租,提前预约,杨浦,距离地铁延吉中路179米,3800,押2付3),36.48,1室1厅,中楼层/6层
莲浦府邸二期,整租,提前预约,闵行,距离地铁七莘路862米,25000,押1付3),279,4室2厅,底层/3层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
三佳花苑,整租,提前预约,闵行,距离地铁七宝949米,4800,押1付3),54,2室1厅,低楼层/5层
领秀爱建园,整租,提前预约,徐汇,距离地铁漕溪路565米,5350,押2付3),45,1室1厅,中楼层/18层
香山西北街坊,整租,提前预约,浦东,距离地铁德平路420米,5600,押2付3),65,2室1厅,顶层/6层
久远小区,整租,提前预约,浦东,距离地铁龙阳路775米,5500,押1付3),66,2室1厅,高楼层/7层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
久远小区,整租,提前预约,浦,距离地铁龙阳路775米,5500,押1付3),66,2室1厅,高楼层/7层
上海未来,整租,提前预约,浦,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
三佳花苑,整租,提前预约,闵,距离地铁七宝949米,4800,押1付3),54,2室1厅,低楼层/5层
领秀爱建园,整租,提前预约,徐,距离地铁漕溪路565米,5350,押2付3),45,1室1厅,中楼层/18层
香山西北街坊,整租,提前预约,浦,距离地铁德平路420米,5600,押2付3),65,2室1厅,顶层/6层
朱家门小区-浦东大道2970弄,整租,随时看房,浦,距离地铁东陆路634米,4700,押2付3),55,2室1厅,高楼层/6层
金杨五街坊,整租,提前预约,浦,距离地铁蓝天路450米,4800,押2付3),48.68,1室1厅,高楼层/6层
紫藤苑,整租,提前预约,徐,无,10500,押2付3),101,2室2厅,低楼层/11层
梅陇五村,合租,提前预约,徐,无,2200,押2付3),20,2室1厅,高楼层/18层
百第宜山大楼,整租,提前预约,徐,距离地铁宜山路317米,5300,押2付3),32,1室1厅,中楼层/11层
宝仪花苑,整租,随时看房,闵行,距离地铁星中路1122米,5300,押1付3),59,2室1厅,中楼层/6层
金杨九街坊,合租,随时看房,浦东,距离地铁金桥路550米,1800,押1付3),15,1室0厅,底层/6层
